Country,Date,Population,Confirmed,Confirmed1,Deaths,Deaths1,Recovered,Recovered1
India,1/22/20,1380004385,0,0,0,0,0,0
India,1/23/20,1380004385,0,0,0,0,0,0
India,1/24/20,1380004385,0,0,0,0,0,0
India,1/25/20,1380004385,0,0,0,0,0,0
India,1/26/20,1380004385,0,0,0,0,0,0
India,1/27/20,1380004385,0,0,0,0,0,0
India,1/28/20,1380004385,0,0,0,0,0,0
India,1/29/20,1380004385,0,1,0,0,0,0
India,1/30/20,1380004385,1,0,0,0,0,0
India,1/31/20,1380004385,1,0,0,0,0,0
India,2/1/20,1380004385,1,1,0,0,0,0
India,2/2/20,1380004385,2,1,0,0,0,0
India,2/3/20,1380004385,3,0,0,0,0,0
India,2/4/20,1380004385,3,0,0,0,0,0
India,2/5/20,1380004385,3,0,0,0,0,0
India,2/6/20,1380004385,3,0,0,0,0,0
India,2/7/20,1380004385,3,0,0,0,0,0
India,2/8/20,1380004385,3,0,0,0,0,0
India,2/9/20,1380004385,3,0,0,0,0,0
India,2/10/20,1380004385,3,0,0,0,0,0
India,2/11/20,1380004385,3,0,0,0,0,0
India,2/12/20,1380004385,3,0,0,0,0,0
India,2/13/20,1380004385,3,0,0,0,0,0
India,2/14/20,1380004385,3,0,0,0,0,0
India,2/15/20,1380004385,3,0,0,0,0,3
India,2/16/20,1380004385,3,0,0,0,3,0
India,2/17/20,1380004385,3,0,0,0,3,0
India,2/18/20,1380004385,3,0,0,0,3,0
India,2/19/20,1380004385,3,0,0,0,3,0
India,2/20/20,1380004385,3,0,0,0,3,0
India,2/21/20,1380004385,3,0,0,0,3,0
India,2/22/20,1380004385,3,0,0,0,3,0
India,2/23/20,1380004385,3,0,0,0,3,0
India,2/24/20,1380004385,3,0,0,0,3,0
India,2/25/20,1380004385,3,0,0,0,3,0
India,2/26/20,1380004385,3,0,0,0,3,0
India,2/27/20,1380004385,3,0,0,0,3,0
India,2/28/20,1380004385,3,0,0,0,3,0
India,2/29/20,1380004385,3,0,0,0,3,0
India,3/1/20,1380004385,3,2,0,0,3,0
India,3/2/20,1380004385,5,0,0,0,3,0
India,3/3/20,1380004385,5,23,0,0,3,0
India,3/4/20,1380004385,28,2,0,0,3,0
India,3/5/20,1380004385,30,1,0,0,3,0
India,3/6/20,1380004385,31,3,0,0,3,0
India,3/7/20,1380004385,34,5,0,0,3,0
India,3/8/20,1380004385,39,4,0,0,3,0
India,3/9/20,1380004385,43,13,0,0,3,1
India,3/10/20,1380004385,56,6,0,1,4,0
India,3/11/20,1380004385,62,11,1,0,4,0
India,3/12/20,1380004385,73,9,1,1,4,0
India,3/13/20,1380004385,82,20,2,0,4,0
India,3/14/20,1380004385,102,11,2,0,4,9
India,3/15/20,1380004385,113,6,2,0,13,0
India,3/16/20,1380004385,119,23,2,1,13,1
India,3/17/20,1380004385,142,14,3,0,14,0
India,3/18/20,1380004385,156,38,3,1,14,1
India,3/19/20,1380004385,194,50,4,1,15,5
India,3/20/20,1380004385,244,86,5,-1,20,3
India,3/21/20,1380004385,330,66,4,3,23,4
India,3/22/20,1380004385,396,103,7,3,27,0
India,3/23/20,1380004385,499,37,10,0,27,13
India,3/24/20,1380004385,536,121,10,2,40,3
India,3/25/20,1380004385,657,70,12,8,43,2
India,3/26/20,1380004385,727,160,20,0,45,28
India,3/27/20,1380004385,887,100,20,4,73,11
India,3/28/20,1380004385,987,37,24,3,84,11
India,3/29/20,1380004385,1024,227,27,5,95,7
India,3/30/20,1380004385,1251,146,32,3,102,21
India,3/31/20,1380004385,1397,601,35,23,123,25
India,4/1/20,1380004385,1998,545,58,14,148,43
India,4/2/20,1380004385,2543,24,72,0,191,1
India,4/3/20,1380004385,2567,515,72,14,192,37
India,4/4/20,1380004385,3082,506,86,13,229,0
India,4/5/20,1380004385,3588,1190,99,37,229,146
India,4/6/20,1380004385,4778,533,136,14,375,46
India,4/7/20,1380004385,5311,605,150,28,421,85
India,4/8/20,1380004385,5916,809,178,48,506,114
India,4/9/20,1380004385,6725,873,226,20,620,154
India,4/10/20,1380004385,7598,848,246,42,774,195
India,4/11/20,1380004385,8446,759,288,43,969,111
India,4/12/20,1380004385,9205,1248,331,27,1080,101
India,4/13/20,1380004385,10453,1034,358,35,1181,178
India,4/14/20,1380004385,11487,835,393,12,1359,73
India,4/15/20,1380004385,12322,1108,405,43,1432,336
India,4/16/20,1380004385,13430,922,448,38,1768,273
India,4/17/20,1380004385,14352,1370,486,35,2041,422
India,4/18/20,1380004385,15722,1893,521,38,2463,391
